canonical_name,total_mentions,model_count,google_name,match_score,google_rating,google_reviews,price_level,business_status,address
Red Star Restaurant,8,3,Red Star Restaurant,100.0,3.7,4181,2,OPERATIONAL,"Block 54 Chin Swee Rd, #07-23, Singapore 160054"
Rempapa,8,3,Rempapa,100.0,4.2,702,,OPERATIONAL,"1 St Andrew's Rd, National Gallery, Singapore 178957"
Satay by the Bay,8,4,Satay by the Bay,100.0,4.0,6556,2,OPERATIONAL,"18 Marina Gardens Dr, #01-19 Gardens by the Bay, Singapore 018953"
Spago Bar & Lounge,8,3,Spago Bar & Lounge,100.0,4.3,1444,4,OPERATIONAL,"10 Bayfront Avenue, Hotel, Tower 2 Level 57, Marina Bay Sands, Singapore 018956"
Teppei Japanese Restaurant,8,2,Teppei Japanese Restaurant,100.0,4.5,893,2,OPERATIONAL,"1 Tras Link, #01-18 Orchid Hotel Singapore, Singapore 078867"
The Coastal Settlement,8,4,The Coastal Settlement,100.0,4.2,2523,2,OPERATIONAL,"200 Netheravon Rd, Singapore 508529"
True Blue Cuisine,8,3,True Blue Cuisine,100.0,4.0,707,3,OPERATIONAL,"47/49 Armenian St, Singapore 179937"
Zam Zam,8,4,Singapore Zam Zam Restaurant,100.0,4.2,9520,1,OPERATIONAL,"697-699 N Bridge Rd, Singapore 198675"
Araya,7,4,Araya,100.0,4.4,150,,OPERATIONAL,"Mondrian Singapore Duxton 83 Neil Road, Duxton Hl, #01-08 Access via, Singapore 089813"
Caffe Fernet,7,2,Caffe Fernet,100.0,4.4,995,3,OPERATIONAL,"70 Collyer Quay, #01-05 Customs House, Singapore 049323"
Chatterbox,7,3,Chatterbox,100.0,4.1,1746,3,OPERATIONAL,"333 Orchard Rd, #05-03 Hilton, Singapore 238867"
Cicheti,7,3,Cicheti,100.0,4.4,1366,3,OPERATIONAL,"52 Kandahar St, Singapore 198901"
Crystal Jade La Mian Xiao Long Bao,7,4,Crystal Jade La Mian Xiao Long Bao,100.0,3.7,453,2,OPERATIONAL,"200 Victoria St, B1 04A, Singapore 188021"
HANJIP Korean Grill House,7,3,Hanjip Korean Grill House,100.0,4.8,4234,,OPERATIONAL,"3C River Valley Rd, #01 - 11 Clarke Quay, Singapore 179022"
Hansik Dining Collective,7,3,Hansik Dining Collective,100.0,3.8,23,,OPERATIONAL,"33 Tras St, Singapore 078973"
House of Peranakan Petit,7,3,House of Peranakan Petit,100.0,4.2,372,2,OPERATIONAL,"42 Eng Hoon St, Estate 169785"
Killiney Kopitiam,7,2,Killiney Kopitiam,100.0,4.2,1831,1,OPERATIONAL,"67 Killiney Rd, Singapore 239525"
Maison Boulud,7,2,Maison Boulud,100.0,4.5,368,4,OPERATIONAL,"10 Bayfront Ave, B1-15 & #01-83 The Shoppes, Marina Bay Sands, Singapore 018956"
Marcy's,7,3,Marcy's,100.0,4.6,935,,OPERATIONAL,"39-40 Duxton Rd, Singapore 089503"
Min Jiang,7,4,Min Jiang,100.0,3.9,581,,OPERATIONAL,"22 Scotts Rd, Goodwood Park Hotel, Singapore 228221"
NOX - Dine in the Dark,7,3,NOX - Dine in the Dark,100.0,4.6,1951,3,OPERATIONAL,"83 Club St, Singapore 069451"
Pasta Brava,7,3,Pasta Brava,100.0,4.3,1139,,OPERATIONAL,"81 Tras St, Singapore 079020"
Sarai Fine Thai,7,4,SARAI Fine Thai,100.0,4.6,1204,,OPERATIONAL,"163 Tanglin Rd, #03 - 122 Tanglin Mall, Singapore 247933"
Shahi Maharani,7,4,Shahi Maharani,100.0,4.3,1306,3,OPERATIONAL,"252 N Bridge Rd, #03–21B, Singapore 179103"
The Populus,7,2,The Populus,100.0,4.3,2475,2,OPERATIONAL,"146 Neil Rd, Singapore 088875"
VUE,7,3,VUE,100.0,4.7,1654,4,OPERATIONAL,"OUE Bayfront, 50 Collyer Quay Rooftop Level 19, Singapore 049321"
Xiao Ya Tou,7,4,Xiao Ya Tou,100.0,4.5,873,3,OPERATIONAL,"6 Duxton Hl, #01-01, Singapore 089592"
Ippudo,7,4,IPPUDO MARINA BAY SANDS,100.0,4.0,869,2,OPERATIONAL,"2 Bayfront Ave, # B2 - 54 / 55 The Shoppes at Marina Bay Sands, Singapore 018972"
Po,7,4,Po (Robertson Quay),100.0,4.5,403,3,OPERATIONAL,"320 Havelock Rd, Singapore 169628"
Ah Chiang's Porridge,6,2,Ah Chiang's Porridge,100.0,3.8,1794,1,OPERATIONAL,"65 Tiong Poh Rd, Singapore 160065"
Birds of a Feather,6,3,Birds of a Feather,100.0,4.4,1555,2,OPERATIONAL,"115 Amoy St, #01-01, Singapore 069935"
Buona Terra,6,3,Buona Terra,100.0,4.5,335,4,OPERATIONAL,"29 Scotts Rd, Singapore 228224"
Colbar,6,3,Colbar,100.0,4.1,1357,2,OPERATIONAL,"9A Whitchurch Rd, Singapore 138839"
Dirty Supper,6,3,Dirty Supper,100.0,4.3,227,,OPERATIONAL,"78 Moh Guan Terrace, #01-19, Singapore 162078"
Genki Sushi,6,2,Genki Sushi,100.0,4.7,1757,2,OPERATIONAL,"1 Jurong West Central 2, #01-35, Singapore 648886"
Ginza Sushi Ichi,6,3,Ginza Sushi Ichi Singapore,100.0,4.6,166,,OPERATIONAL,"320 Orchard Rd, #01-04 Singapore Marriott Tang Plaza Hotel, Singapore 238865"
Jian Bo Shui Kueh,6,3,Jian Bo Shui Kueh,100.0,3.6,615,1,OPERATIONAL,"30 Seng Poh Rd, #02-05, Singapore 168898"
Jin Ting Wan,6,3,Jin Ting Wan,100.0,4.3,84,,OPERATIONAL,"10 Bayfront Avenue, Marina Bay Sands, Hotel, Level 55 Tower 1, Singapore 018956"
Ramen Keisuke,6,3,Ramen Keisuke Singapore,100.0,4.3,199,,OPERATIONAL,"60 Airport Blvd #03-15, Changi Airport Terminal 2 Singapore Changi Airport, Singapore 819643"
Lau Pa Sat Satay Street,6,2,Satay Street @ Lau Pa Sat,100.0,4.4,2802,,OPERATIONAL,"Boon Tat St, Singapore"
